position,person,personID,start,end,gender,DOB,DOD,image,enwiki
member of the Lok Sabha,Chandra Bhan Singh,Q105446577,1963,,male,1900-01-12,,,
member of the Lok Sabha,Kumudini Patnaik,Q21176436,1999,2004,female,1945-07-07,,,Kumudini Patnaik
member of the Lok Sabha,Manda Jagannadham,Q6747692,1999,,male,,,,Manda Jagannadham
member of the Lok Sabha,Shrichand Kriplani,Q7503926,1999-10-10,2004-02-06,male,1958-07-18,,,Shrichand Kriplani
member of the Lok Sabha,Sandeep Dikshit,Q14475684,2004,,male,1964-08-15,,,Sandeep Dikshit
member of the Lok Sabha,Nikhil Kumar,Q1897475,2004,2009,male,1941-07-15,,,Nikhil Kumar
member of the Lok Sabha,Brahmananda Panda,Q2923570,2004,2009,male,1949-04-03,2010-01-30,,Brahmananda Panda
member of the Lok Sabha,Selja Kumari,Q3595500,2004,2014,female,1962-09-24,,Selja - Kolkata 2011-11-05 6516 Cropped.JPG,Selja Kumari
member of the Lok Sabha,G. Venkatswamy,Q3764490,2004,2009,male,1929-10-05,2014-12-22,,G. Venkatswamy
member of the Lok Sabha,Rupatai Patil Nilangekar,Q7380215,2004,2009,female,1957-06-04,,,Rupatai Patil Nilangekar
member of the Lok Sabha,M. Appadurai,Q31379926,2004-05-17,2009-05-18,male,1949-12-11,,,M. Appadurai
Member of Rajya Sabha,Manmohan Singh,Q41914,1991-10,,male,1932-09-26,,"Prime Minister Manmohan Singh in WEF ,2009.jpg",Manmohan Singh
Member of Rajya Sabha,Ahmed Patel,Q1850695,1993-08-19,2020-11-25,male,1949-08-21,2020-11-25,Shri Ahmed Patel.jpg,Ahmed Patel
Member of Rajya Sabha,Om Prakash Kohli,Q17355671,1994-01-28,2000-01-27,male,1935-08-09,,Om Prakash Kohli on 22 October 2016.jpg,Om Prakash Kohli
Member of Rajya Sabha,Ram Nath Kovind,Q16845347,1994-04,2006-03,male,1945-10-01,,Ram Nath Kovind official portrait.jpg,Ram Nath Kovind
Member of Rajya Sabha,Sanatan Bisi,Q61556110,1994-04-03,2000-04-02,male,1941-11-16,2020-06-14,Sanatan Bisi.jpg,Sanatan Bisi
Member of Rajya Sabha,Dilip Kumar Ray,Q5276809,1996-04-03,2002-04-02,male,1954-01-09,,Dilip Kumar Ray.jpg,Dilip Ray
Member of Rajya Sabha,S. M. Krishna,Q58292,1996-10-04,2002-09-04,male,1932-05-01,,Somanahalli Mallaiah Krishna (cropped).jpg,S. M. Krishna
Member of Rajya Sabha,Raja Ramanna,Q26370,1997,2003,male,1925-01-28,2004-09-24,D Roopa IPS.jpg,Raja Ramanna
Member of Rajya Sabha,Kuldip Nayar,Q1791448,1997-08-27,2003-08-26,male,1923-08-14,2018-08-23,Kuldip Nayar-2.jpg,Kuldip Nayar
Member of Rajya Sabha,Arun Shourie,Q3518399,1998,2004,male,1941-11-02,,Arun Shourie cropped.jpg,Arun Shourie
Member of Rajya Sabha,Muppavarapu Venkaiah Naidu,Q3764667,1998,2017-08-10,male,1949-07-01,,Venkaiah Naidu official portrait.jpg,Venkaiah Naidu
Member of Rajya Sabha,Muppavarapu Venkaiah Naidu,Q3764667,1998,2016,male,1949-07-01,,Venkaiah Naidu official portrait.jpg,Venkaiah Naidu
Member of Rajya Sabha,Shabana Azmi,Q465863,1998,,female,1950-09-18,,Shabana Azmi SFU honorary degree (cropped).jpg,Shabana Azmi
Member of Rajya Sabha,Mrinal Sen,Q982809,1998,2003,male,1923-05-14,2018-12-30,Mrinal-sen.jpg,Mrinal Sen
