item,itemLabel,startDate,endDate
Q4683078,Aditya Nath Jha,1966-11-07,1972-01-19
,"M.C. Pimputkar, ICS",1972-01-19,1972-04-23
,"Baleshwar Prasad, IAS",1972-04-24,1974-10-03
,"Krishan Chand, ICS",1974-10-03,1978-03-30
,"Dalip Rai Kohli, ICS",1978-03-30,1980-02-17
Q5924734,Jagmohan Malhotra,1980-02-17,1981-03-30
Q7639211,Sundar Lal Khurana,1981-03-30,1982-09-02
Q5924734,Jagmohan Malhotra,1982-09-02,1984-04-25
,"P. G. Gavai, IAS",1984-04-25,1984-11
,"Mohan M.K. Wali, IAS",1984-11,1985-11
Q104830528,AVM,1985-11,1988-08
Q7363169,Romesh Bhandari,1988-08,1989-12
Q85740207,ACM,1989-12,1990-12
,"Markandey Singh, IPS",1990-12,1992-05-04
,"Prasannabhai Karunashankar Dave, IAS",1992-05-04,1997-01-04
Q1898849,Tejendra Khanna,1997-01-04,1998-04-20
Q16730581,Vijai Kapoor,1998-04-20,2004-06-09
Q1898542,Banwari Lal Joshi,2004-06-09,2007-04-09
Q1898849,Tejendra Khanna,2007-04-09,2013-07-09
Q6959958,Najeeb Jung,2013-07-09,2016-12-22
Q28086313,Anil Baijal,2016-12-31,2022-05-18
Q112117305,Vinai Kumar Saxena,2022-05-26,
